Transaction ID,Date,Description,Merchant,Category,Amount,Payment Method,Type
T0001,2025-08-01,Monthly Salary,Employer Payroll,Income,48457.08,Bank Transfer,Income
T0002,2025-08-03,Netflix - Entertainment,Netflix,Entertainment,674.11,Card,Expense
T0037,2025-08-03,Amazon - Shopping,Amazon,Shopping,2121.69,UPI,Expense
T0017,2025-08-03,Local Cafe - Food,Local Cafe,Food,127.85,Card,Expense
T0042,2025-08-04,Cult.fit Gym - Health & Fitness,Cult.fit Gym,Health & Fitness,1933.03,Cash,Expense
T0027,2025-08-04,Metro Card - Transport,Metro Card,Transport,143.26,Cash,Expense
T0023,2025-08-04,Rapido - Transport,Rapido,Transport,40.81,UPI,Expense
T0018,2025-08-04,Starbucks - Food,Starbucks,Food,140.26,Card,Expense
T0040,2025-08-05,Spotify - Entertainment,Spotify,Entertainment,219.02,UPI,Expense
T0039,2025-08-05,PVR Cinemas - Entertainment,PVR Cinemas,Entertainment,293.48,UPI,Expense
T0011,2025-08-08,Dominos - Food,Dominos,Food,522.1,Cash,Expense
T0044,2025-08-08,Book Store - Education,Book Store,Education,1393.66,UPI,Expense
T0047,2025-08-09,Local Spa - Personal Care,Local Spa,Personal Care,232.73,Card,Expense
T0012,2025-08-10,Swiggy - Food,Swiggy,Food,729.24,Cash,Expense
T0031,2025-08-12,Rapido - Transport,Rapido,Transport,120.93,UPI,Expense
T0014,2025-08-13,Local Cafe - Food,Local Cafe,Food,117.19,UPI,Expense
T0045,2025-08-13,Local Library - Education,Local Library,Education,259.65,Card,Expense
T0007,2025-08-13,Mobile Recharge - Bills & Utilities,Mobile Recharge,Bills & Utilities,398.87,UPI,Expense
T0048,2025-08-13,Local Spa - Personal Care,Local Spa,Personal Care,987.81,Card,Expense
T0043,2025-08-14,Local Clinic - Health & Fitness,Local Clinic,Health & Fitness,316.92,Cash,Expense
T0026,2025-08-14,Metro Card - Transport,Metro Card,Transport,58.41,UPI,Expense
T0009,2025-08-15,Local Cafe - Food,Local Cafe,Food,140.37,UPI,Expense
T0010,2025-08-15,Grocery Mart - Food,Grocery Mart,Food,620.14,UPI,Expense
T0020,2025-08-18,Petrol Pump - Transport,Petrol Pump,Transport,93.2,Cash,Expense
T0041,2025-08-18,BookMyShow - Entertainment,BookMyShow,Entertainment,142.09,Card,Expense
T0029,2025-08-18,Metro Card - Transport,Metro Card,Transport,181.86,Card,Expense
